weekday_is_monday,weekday_is_tuesday,weekday_is_wednesday,weekday_is_thursday,weekday_is_friday,weekday_is_saturday,weekday_is_sunday,is_weekend,shares
1,0,0,0,0,0,0,0,711
1,0,0,0,0,0,0,0,1200
1,0,0,0,0,0,0,0,891
1,0,0,0,0,0,0,0,3600
1,0,0,0,0,0,0,0,710
1,0,0,0,0,0,0,0,761
1,0,0,0,0,0,0,0,1600
1,0,0,0,0,0,0,0,3100
1,0,0,0,0,0,0,0,5700
1,0,0,0,0,0,0,0,2800
1,0,0,0,0,0,0,0,445
1,0,0,0,0,0,0,0,852
1,0,0,0,0,0,0,0,1500
1,0,0,0,0,0,0,0,462
1,0,0,0,0,0,0,0,425
1,0,0,0,0,0,0,0,3200
1,0,0,0,0,0,0,0,480
1,0,0,0,0,0,0,0,573
1,0,0,0,0,0,0,0,2600
1,0,0,0,0,0,0,0,2100
1,0,0,0,0,0,0,0,1100
1,0,0,0,0,0,0,0,4200
1,0,0,0,0,0,0,0,1200
1,0,0,0,0,0,0,0,1500
1,0,0,0,0,0,0,0,575
1,0,0,0,0,0,0,0,1200
1,0,0,0,0,0,0,0,382
1,0,0,0,0,0,0,0,1600
1,0,0,0,0,0,0,0,1100
1,0,0,0,0,0,0,0,1300
1,0,0,0,0,0,0,0,819
1,0,0,0,0,0,0,0,585
1,0,0,0,0,0,0,0,834
1,0,0,0,0,0,0,0,598
1,0,0,0,0,0,0,0,217
1,0,0,0,0,0,0,0,3200
1,0,0,0,0,0,0,0,545
1,0,0,0,0,0,0,0,1200
1,0,0,0,0,0,0,0,1200
1,0,0,0,0,0,0,0,2800
1,0,0,0,0,0,0,0,690
1,0,0,0,0,0,0,0,1300
1,0,0,0,0,0,0,0,631
0,1,0,0,0,0,0,0,1300
0,1,0,0,0,0,0,0,1200
0,1,0,0,0,0,0,0,1700
0,1,0,0,0,0,0,0,1200
0,1,0,0,0,0,0,0,500
0,0,1,0,0,0,0,0,455
0,0,1,0,0,0,0,0,1400
0,0,1,0,0,0,0,0,341
0,0,1,0,0,0,0,0,1200
0,0,1,0,0,0,0,0,663
0,0,1,0,0,0,0,0,971
0,0,1,0,0,0,0,0,1400
0,0,1,0,0,0,0,0,1900
0,0,1,0,0,0,0,0,1100
0,0,1,0,0,0,0,0,5700
0,0,1,0,0,0,0,0,7100
0,0,1,0,0,0,0,0,2300
0,0,1,0,0,0,0,0,575
0,0,1,0,0,0,0,0,1800
0,0,1,0,0,0,0,0,1600
0,0,1,0,0,0,0,0,6000
0,0,1,0,0,0,0,0,752
0,0,1,0,0,0,0,0,1700
0,0,1,0,0,0,0,0,454
0,0,1,0,0,0,0,0,1100
0,0,0,0,1,0,0,0,1200
0,0,1,0,0,0,0,0,2800
0,0,1,0,0,0,0,0,1600
0,0,1,0,0,0,0,0,412
0,0,1,0,0,0,0,0,1100
0,0,1,0,0,0,0,0,417
0,0,1,0,0,0,0,0,474
0,0,1,0,0,0,0,0,2100
0,0,1,0,0,0,0,0,513
0,0,1,0,0,0,0,0,10400
0,0,1,0,0,0,0,0,2200
0,0,1,0,0,0,0,0,1000
0,0,1,0,0,0,0,0,2100
0,0,1,0,0,0,0,0,727
0,0,1,0,0,0,0,0,2800
0,0,1,0,0,0,0,0,648
0,0,1,0,0,0,0,0,1300
0,0,1,0,0,0,0,0,1300
0,0,1,0,0,0,0,0,450
0,0,1,0,0,0,0,0,1600
0,0,1,0,0,0,0,0,866
0,0,1,0,0,0,0,0,606
0,0,1,0,0,0,0,0,5000
0,0,1,0,0,0,0,0,11500
0,0,1,0,0,0,0,0,28000
0,0,1,0,0,0,0,0,1700
0,0,1,0,0,0,0,0,958
0,0,0,1,0,0,0,0,427
0,0,0,1,0,0,0,0,3200
0,0,0,1,0,0,0,0,3400
0,0,0,1,0,0,0,0,972
0,0,0,1,0,0,0,0,737
0,0,0,1,0,0,0,0,3800
0,0,0,1,0,0,0,0,1700
0,0,0,1,0,0,0,0,1400
0,0,0,1,0,0,0,0,3200
0,0,0,1,0,0,0,0,1600
0,0,0,1,0,0,0,0,1300
0,0,0,1,0,0,0,0,8100
0,0,0,1,0,0,0,0,933
0,0,0,1,0,0,0,0,2500
0,0,0,1,0,0,0,0,1700
0,0,0,1,0,0,0,0,2400
0,0,0,1,0,0,0,0,1400
0,0,0,1,0,0,0,0,1200
0,0,0,1,0,0,0,0,2400
0,0,0,1,0,0,0,0,1500
0,0,0,1,0,0,0,0,1300
0,0,0,1,0,0,0,0,1200
0,0,0,1,0,0,0,0,1900
0,0,0,1,0,0,0,0,1500
0,0,0,1,0,0,0,0,1100
0,0,0,1,0,0,0,0,1500
0,0,0,1,0,0,0,0,569
0,0,0,1,0,0,0,0,1100
0,0,0,1,0,0,0,0,979
0,0,0,1,0,0,0,0,802
0,0,0,1,0,0,0,0,835
0,0,0,1,0,0,0,0,12000
0,0,0,1,0,0,0,0,1200
0,0,0,1,0,0,0,0,400
0,0,0,0,1,0,0,0,4400
0,0,0,0,1,0,0,0,1400
0,0,0,0,1,0,0,0,1300
0,0,0,0,1,0,0,0,1100
0,0,0,0,1,0,0,0,1800
0,0,0,0,1,0,0,0,37400
0,0,0,0,1,0,0,0,18000
0,0,0,0,1,0,0,0,2500
0,0,0,0,1,0,0,0,18200
0,0,0,0,1,0,0,0,730
0,0,0,0,1,0,0,0,1900
0,0,0,0,1,0,0,0,2900
0,0,0,0,1,0,0,0,1100
0,0,0,0,1,0,0,0,582
0,0,0,0,1,0,0,0,1000
0,0,0,0,1,0,0,0,1700
0,0,0,0,1,0,0,0,1500
0,0,0,0,1,0,0,0,4400
0,0,0,0,1,0,0,0,2100
0,0,0,0,1,0,0,0,2100
0,0,0,0,1,0,0,0,1100
0,0,0,0,1,0,0,0,2200
0,0,0,0,1,0,0,0,9000
0,0,0,0,1,0,0,0,622
0,0,0,0,1,0,0,0,1000
0,0,0,0,1,0,0,0,658
0,0,0,0,1,0,0,0,1500
0,0,0,0,0,1,0,1,1600
0,0,0,0,0,1,0,1,2000
0,0,0,0,0,1,0,1,1900
0,0,0,0,0,1,0,1,1700
0,0,0,0,0,1,0,1,1600
0,0,0,0,0,1,0,1,1800
0,0,0,0,0,1,0,1,25200
0,0,0,0,0,1,0,1,15700
0,0,0,0,0,0,1,1,1900
0,0,0,0,0,0,1,1,1900
0,0,0,0,0,0,1,1,12100
0,0,0,0,0,0,1,1,3700
0,0,0,0,0,0,1,1,1600
0,0,0,0,0,0,1,1,1400
0,0,0,0,0,0,1,1,3400
0,0,0,0,0,0,1,1,5400
0,0,0,0,0,0,1,1,5600
0,0,0,0,0,0,1,1,2300
1,0,0,0,0,0,0,0,630
1,0,0,0,0,0,0,0,5800
